,Game,White,Black,White.Elo,Black.Elo,White.RD,Black.RD,WhiteIsComp,BlackIsComp,TimeControl,Date,Time,White.Clock,Black.Clock,ECO,PlyCount,Result,Result.Winner,Commentaries
5," ""LuvDino"" vs ""pikozrout""",LuvDino,pikozrout,2027,2228,0,0,No,Yes,120+1,2016.12.31,22:23:00,02:00.0,02:00.0,B57,91, 1-0,White,Black checkmated
11," ""Sillycon"" vs ""Youshe""",Sillycon,Youshe,2371,1763,0,0,Yes,No,900+0,2016.12.31,19:09:00,15:00.0,15:00.0,E12,81, 1-0,White,Black checkmated
23," ""btoni"" vs ""pikozrout""",btoni,pikozrout,1890,2249,0,0,No,Yes,900+0,2016.12.31,16:47:00,15:00.0,15:00.0,B21,42,0-1,Black,White checkmated
24," ""Knightsmasher"" vs ""Donattello""",Knightsmasher,Donattello,2594,1833,0,0,Yes,No,60+0,2016.12.31,15:48:00,01:00.0,01:00.0,B01,67, 1-0,White,Black checkmated
34," ""Knightsmasher"" vs ""halilsim""",Knightsmasher,halilsim,2377,1752,0,0,Yes,No,180+0,2016.12.31,13:43:00,03:00.0,03:00.0,D04,53, 1-0,White,Black checkmated
39," ""Squirrels"" vs ""halilsim""",Squirrels,halilsim,2314,1756,0,0,Yes,No,180+0,2016.12.31,13:23:00,03:00.0,03:00.0,C11,79, 1-0,White,Black checkmated
56," ""madoldboy"" vs ""JuniorLurking""",madoldboy,JuniorLurking,2109,2200,0,0,No,Yes,900+0,2016.12.31,10:42:00,15:00.0,15:00.0,B50,59, 1-0,White,Black checkmated
58," ""madoldboy"" vs ""GriffySr""",madoldboy,GriffySr,2066,2149,0,0,No,Yes,900+0,2016.12.31,10:24:00,15:00.0,15:00.0,B02,55, 1-0,White,Black checkmated
68," ""Sillycon"" vs ""chesshobi""",Sillycon,chesshobi,2365,1677,0,0,Yes,No,900+0,2016.12.31,9:05:00,15:00.0,15:00.0,A29,51, 1-0,White,Black checkmated
87," ""foosballfan"" vs ""mscp""",foosballfan,mscp,2258,1789,0,0,No,Yes,300+0,2016.12.31,8:03:00,05:00.0,05:00.0,A41,79, 1-0,White,Black checkmated
88," ""mscp"" vs ""foosballfan""",mscp,foosballfan,1790,2257,0,0,Yes,No,300+0,2016.12.31,8:02:00,05:00.0,05:00.0,A20,54,0-1,Black,White checkmated
